signal,car_spread_T3_T1,spread_t,spread_p_ttest,spread_p_permutation,mean_ic,ic_t,ic_ci,n_events
LM net tone (MD&A),0.00836770212325419,0.69880334665736,0.48543008967470214,0.526,-0.03931468531468531,-0.6621281718517213,"[-0.174, +0.095]",320
YoY similarity (MD&A),-0.0318289508631725,-2.2217601230669946,0.02747238615908745,0.02,-0.08466751886106723,-2.0955077057999665,"[-0.178, +0.009]",287
