signal,mean_ic,t_stat,ci_lo,ci_hi,n_years
LM tone: MD&A,-0.03931468531468531,-0.6621281718517213,-0.17363308583947068,0.09500371521010005,10
LM tone: Risk Factors,-0.002452176855402663,-0.0554025957645758,-0.10257761973769587,0.09767326602689054,10
LM tone: full document,-0.05426043311527181,-0.7400334422748132,-0.22012540679514872,0.11160454056460509,10
Similarity: TF-IDF (corpus),-0.08466751886106723,-2.0955077057999665,-0.17783999828275565,0.008504960560621194,9
Similarity: TF-IDF full doc,-0.0971340576985738,-1.2680190752303189,-0.27378087877640034,0.07951276337925273,9
Similarity: within-pair counts,-0.07709884201819686,-1.8908111125155995,-0.1711274032654958,0.016929719229102094,9
