Series,CAGR,Ann.Vol,Sharpe,Sortino,Calmar,MaxDrawdown,HitRate,VaR95,CVaR95,Skew,Kurtosis,LongestDD(days)
Portfolio (gross),0.41082889030507297,0.3539859596819167,1.0934435811374346,1.6194847728939097,0.8296387321080106,-0.4951901043255381,0.5386840202458424,0.034650491837671486,0.049667953929910434,-0.03389349422585141,3.2668719188244317,355
Portfolio (net of costs),0.41036160307742553,0.3539845323629195,1.0925097796160415,1.6180195512272537,0.8284589478818917,-0.4953312461970394,0.5386840202458424,0.034650491837671486,0.04966967975937813,-0.03392927265430673,3.2668948366243846,355
SPY (benchmark),0.1320701073767485,0.17135500515392055,0.6934081590227689,0.9683546345215108,0.3916986867638648,-0.3371727091246718,0.5502530730296457,0.016335786784898384,0.026294851284198773,-0.5593308551185419,13.055809367171975,488
